pl,sg,broad_category,category,synset
parachutists,parachutist,noun.person,noun.person,parachutist.n.01
gimps,gimp,noun.state,noun.state.unfitness,lameness.n.01
urgencies,urgency,noun.state,noun.state.need,urgency.n.01
ballplayers,ballplayer,noun.person,noun.person.contestant,ballplayer.n.01
ironworkers,ironworker,noun.person,noun.person.creator,ironworker.n.01
hedgehogs,hedgehog,noun.animal,noun.animal.rodent,porcupine.n.01
busloads,busload,noun.quantity,noun.quantity.indefinite_quantity,busload.n.01
smolders,smolder,noun.event,noun.event.fire,smoulder.n.01
droppers,dropper,noun.artifact,noun.artifact.measuring_instrument,dropper.n.01
confiscations,confiscation,noun.act,noun.act.acquiring,confiscation.n.01
abortionists,abortionist,noun.person,noun.person.adult,abortionist.n.01
sideswipes,sideswipe,noun.event,noun.event.contact,sideswipe.n.01
sounders,sounder,noun.artifact,noun.artifact,sounder.n.01
crawlspaces,crawlspace,noun.location,noun.location.region,crawlspace.n.01
cokes,coke,noun.substance,noun.substance.fuel,coke.n.01
lounges,lounge,noun.artifact,noun.artifact.furnishing,sofa.n.01
cozies,cozy,noun.artifact,noun.artifact.cloth_covering,cosy.n.01
refutations,refutation,noun.communication,noun.communication.speech_act,refutation.n.01
malpractices,malpractice,noun.act,noun.act.wrongdoing,malpractice.n.01
bosoms,bosom,noun.state,noun.state.separation,bosom.n.01
bordellos,bordello,noun.artifact,noun.artifact.building,whorehouse.n.01
cannibals,cannibal,noun.person,noun.person,cannibal.n.01
crs,cr,noun.substance,noun.substance.chemical_element,chromium.n.01
persecutions,persecution,noun.act,noun.act.practice,persecution.n.01
interceptors,interceptor,noun.artifact,noun.artifact.conveyance,interceptor.n.01
encyclopedias,encyclopedia,noun.communication,noun.communication.product,encyclopedia.n.01
dishcloths,dishcloth,noun.artifact,noun.artifact.fabric,dishrag.n.01
torts,tort,noun.act,noun.act.wrongdoing,tort.n.01
distributions,distribution,noun.cognition,noun.cognition.structure,distribution.n.01
rums,rum,noun.food,noun.food.fluid,rum.n.01
countrys,country,noun.group,noun.group.unit,state.n.04
saltines,saltine,noun.food,noun.food.foodstuff,saltine.n.01
snowdrifts,snowdrift,noun.object,noun.object.body,snowdrift.n.01
flys,fly,noun.animal,noun.animal.arthropod,fly.n.01
playlists,playlist,noun.communication,noun.communication.information,playlist.n.01
orchestrations,orchestration,noun.communication,noun.communication.auditory_communication,orchestration.n.01
pollinators,pollinator,noun.animal,noun.animal.arthropod,pollinator.n.01
megahits,megahit,noun.act,noun.act.accomplishment,blockbuster.n.02
delinquencies,delinquency,noun.possession,noun.possession.transferred_property,delinquency.n.01
cellars,cellar,noun.artifact,noun.artifact.floor,basement.n.01
vintners,vintner,noun.person,noun.person.capitalist,vintner.n.01
counterpoints,counterpoint,noun.communication,noun.communication.auditory_communication,counterpoint.n.01
knitters,knitter,noun.person,noun.person.creator,knitter.n.01
abetters,abetter,noun.person,noun.person.bad_person,abettor.n.01
canids,canid,noun.animal,noun.animal.carnivore,canine.n.02
shorthands,shorthand,noun.communication,noun.communication.writing,shorthand.n.01
