pl,sg,broad_category,category,synset
lights,light,noun.phenomenon,noun.phenomenon.physical_phenomenon,light.n.01
girls,girl,noun.person,noun.person.adult,girl.n.01
hearts,heart,noun.cognition,noun.cognition.idea,heart.n.01
arms,arm,noun.body,noun.body.external_body_part,arm.n.01
stands,stand,noun.artifact,noun.artifact.support,base.n.08
kisses,kiss,noun.act,noun.act.touch,kiss.n.01
words,word,noun.communication,noun.communication.language_unit,word.n.01
tears,tear,noun.body,noun.body,tear.n.01
eyes,eye,noun.body,noun.body.organ,eye.n.01
winners,winner,noun.person,noun.person.contestant,winner.n.01
boys,boy,noun.person,noun.person.male,male_child.n.01
guys,guy,noun.person,noun.person.adult,guy.n.01
members,member,noun.person,noun.person.peer,member.n.01
families,family,noun.group,noun.group.unit,family.n.01
moms,mom,noun.person,noun.person.relative,ma.n.01
sons,son,noun.person,noun.person.relative,son.n.01
accomplishments,accomplishment,noun.act,noun.act.accomplishment,accomplishment.n.01
games,game,noun.act,noun.act,game.n.01
medals,medal,noun.communication,noun.communication.signal,decoration.n.02
screams,scream,noun.communication,noun.communication.auditory_communication,scream.n.01
judges,judge,noun.person,noun.person.skilled_worker,judge.n.01
champions,champion,noun.person,noun.person.contestant,champion.n.01
lives,life,noun.state,noun.state.being,life.n.01
routines,routine,noun.act,noun.act.procedure,routine.n.01
parents,parent,noun.person,noun.person.relative,parent.n.01
matches,match,noun.artifact,noun.artifact,match.n.01
lands,land,noun.possession,noun.possession.property,land.n.01
events,event,noun.Tops,noun.Tops,event.n.01
pavilions,pavilion,noun.artifact,noun.artifact.shelter,pavilion.n.01
deals,deal,noun.act,noun.act.transaction,deal.n.01
favorites,favorite,noun.cognition,noun.cognition.process,favorite.n.01
breasts,breast,noun.body,noun.body.external_body_part,breast.n.01
cans,can,noun.artifact,noun.artifact,can.n.01
footsteps,footstep,noun.event,noun.event.sound,footfall.n.01
stars,star,noun.object,noun.object.celestial_body,star.n.01
kids,kid,noun.person,noun.person.juvenile,child.n.01
hands,hand,noun.body,noun.body.external_body_part,hand.n.01
folks,folk,noun.group,noun.group.people,folk.n.01
bars,bar,noun.artifact,noun.artifact.area,barroom.n.01
teammates,teammate,noun.person,noun.person.peer,teammate.n.01
memes,meme,noun.cognition,noun.cognition,meme.n.01
chairs,chair,noun.artifact,noun.artifact.furnishing,chair.n.01
shores,shore,noun.object,noun.object.geological_formation,shore.n.01
lines,line,noun.group,noun.group.arrangement,line.n.01
trees,tree,noun.plant,noun.plant,tree.n.01
adventures,adventure,noun.act,noun.act.work,adventure.n.01
monkeys,monkey,noun.animal,noun.animal.primate,monkey.n.01
nerves,nerve,noun.body,noun.body.tissue,nerve.n.01
harnesses,harness,noun.artifact,noun.artifact.support,harness.n.01
helmets,helmet,noun.artifact,noun.artifact.protective_covering,helmet.n.01
times,time,noun.event,noun.event,time.n.01
considerations,consideration,noun.cognition,noun.cognition.process,consideration.n.01
meters,meter,noun.quantity,noun.quantity.linear_unit,meter.n.01
factors,factor,noun.event,noun.event.beginning,factor.n.01
ones,one,noun.quantity,noun.quantity.number,one.n.01
swimmers,swimmer,noun.person,noun.person.contestant,swimmer.n.01
sacrifices,sacrifice,noun.act,noun.act,forfeit.n.03
dads,dad,noun.person,noun.person.relative,dad.n.01
vaccines,vaccine,noun.artifact,noun.artifact,vaccine.n.01
olds,old,noun.time,noun.time,old.n.01
effects,effect,noun.phenomenon,noun.phenomenon,consequence.n.01
chills,chill,noun.attribute,noun.attribute.physical_property,chill.n.01
risks,risk,noun.state,noun.state.danger,hazard.n.01
benefits,benefit,noun.possession,noun.possession.transferred_property,benefit.n.01
viewers,viewer,noun.person,noun.person.perceiver,spectator.n.01
moments,moment,noun.time,noun.time.point,moment.n.01
scores,score,noun.cognition,noun.cognition.process,mark.n.01
projects,project,noun.act,noun.act.work,undertaking.n.01
remarks,remark,noun.communication,noun.communication.statement,remark.n.01
adversaries,adversary,noun.person,noun.person,adversary.n.01
polls,poll,noun.cognition,noun.cognition.process,poll.n.01
voters,voter,noun.person,noun.person.national,voter.n.01
states,state,noun.location,noun.location.region,state.n.01
sights,sight,noun.cognition,noun.cognition.representation,sight.n.01
supporters,supporter,noun.person,noun.person.advocate,supporter.n.01
insults,insult,noun.communication,noun.communication.disrespect,abuse.n.02
results,result,noun.phenomenon,noun.phenomenon,consequence.n.01
delegates,delegate,noun.person,noun.person.communicator,delegate.n.01
jobs,job,noun.act,noun.act.occupation,occupation.n.01
workers,worker,noun.person,noun.person,worker.n.01
rows,row,noun.group,noun.group.arrangement,row.n.01
gowns,gown,noun.artifact,noun.artifact.clothing,gown.n.01
expectations,expectation,noun.cognition,noun.cognition.belief,expectation.n.01
aides,aide,noun.person,noun.person.skilled_worker,adjutant.n.01
notes,note,noun.communication,noun.communication.indication,note.n.01
resignations,resignation,noun.feeling,noun.feeling,resignation.n.01
candidates,candidate,noun.person,noun.person.leader,campaigner.n.01
numbers,number,noun.attribute,noun.attribute.magnitude,number.n.01
levees,levee,noun.group,noun.group.gathering,levee.n.01
homes,home,noun.location,noun.location.point,home.n.01
schools,school,noun.group,noun.group.institution,school.n.01
properties,property,noun.possession,noun.possession,property.n.01
tombstones,tombstone,noun.artifact,noun.artifact,gravestone.n.01
neighbors,neighbor,noun.person,noun.person,neighbor.n.01
consequences,consequence,noun.phenomenon,noun.phenomenon,consequence.n.01
fields,field,noun.location,noun.location.region,field.n.01
reports,report,noun.communication,noun.communication.document,report.n.01
disorders,disorder,noun.state,noun.state.disorder,disorder.n.01
players,player,noun.person,noun.person.contestant,player.n.01
questions,question,noun.communication,noun.communication.speech_act,question.n.01
implications,implication,noun.cognition,noun.cognition.process,deduction.n.03
lawyers,lawyer,noun.person,noun.person.adult,lawyer.n.01
thousands,thousand,noun.quantity,noun.quantity.number,thousand.n.01
researchers,researcher,noun.person,noun.person.scientist,research_worker.n.01
concussions,concussion,noun.event,noun.event.trouble,concussion.n.01
impacts,impact,noun.event,noun.event.contact,impact.n.01
chances,chance,noun.state,noun.state.being,opportunity.n.01
scholarships,scholarship,noun.possession,noun.possession.transferred_property,scholarship.n.01
friends,friend,noun.person,noun.person,friend.n.01
dozens,dozen,noun.quantity,noun.quantity.number,twelve.n.01
heads,head,noun.body,noun.body.external_body_part,head.n.01
presidents,president,noun.person,noun.person.leader,president.n.01
pills,pill,noun.artifact,noun.artifact.thing,pill.n.01
doctors,doctor,noun.person,noun.person.adult,doctor.n.01
millions,million,noun.quantity,noun.quantity.number,million.n.01
opiates,opiate,noun.artifact,noun.artifact,opiate.n.01
names,name,noun.communication,noun.communication.language_unit,name.n.01
painkillers,painkiller,noun.artifact,noun.artifact.medicine,analgesic.n.01
medications,medication,noun.artifact,noun.artifact.medicine,medicine.n.02
injuries,injury,noun.state,noun.state.injury,injury.n.01
meds,med,noun.communication,noun.communication.signal,master_of_education.n.01
patients,patient,noun.person,noun.person.unfortunate,patient.n.01
roles,role,noun.act,noun.act.work,function.n.03
restrictions,restriction,noun.cognition,noun.cognition.idea,restriction.n.01
purposes,purpose,noun.cognition,noun.cognition.goal,purpose.n.01
countries,country,noun.group,noun.group.unit,state.n.04
fans,fan,noun.artifact,noun.artifact,fan.n.01
negotiations,negotiation,noun.communication,noun.communication.auditory_communication,negotiation.n.01
signs,sign,noun.communication,noun.communication.indication,sign.n.01
shoulders,shoulder,noun.body,noun.body,shoulder.n.01
tributes,tribute,noun.communication,noun.communication.approval,tribute.n.01
ties,tie,noun.artifact,noun.artifact.clothing,necktie.n.01
commanders,commander,noun.person,noun.person.skilled_worker,commanding_officer.n.01
politicians,politician,noun.person,noun.person.leader,politician.n.01
affairs,affair,noun.cognition,noun.cognition.psychological_state,matter.n.01
stays,stay,noun.act,noun.act,stay.n.01
things,thing,noun.state,noun.state.situation,thing.n.01
returns,return,noun.communication,noun.communication.document,tax_return.n.01
shows,show,noun.act,noun.act.diversion,show.n.01
ways,way,noun.attribute,noun.attribute,manner.n.01
nominees,nominee,noun.person,noun.person.leader,campaigner.n.01
actors,actor,noun.person,noun.person.entertainer,actor.n.01
nominations,nomination,noun.act,noun.act.choice,nomination.n.01
thrones,throne,noun.artifact,noun.artifact.furnishing,throne.n.01
categories,category,noun.group,noun.group.collection,class.n.01
actresses,actress,noun.person,noun.person.entertainer,actress.n.01
shingles,shingle,noun.substance,noun.substance.building_material,shingle.n.01
predictions,prediction,noun.cognition,noun.cognition.process,prediction.n.01
globes,globe,noun.object,noun.object,earth.n.01
collars,collar,noun.artifact,noun.artifact.strip,collar.n.01
rivers,river,noun.object,noun.object.body_of_water,river.n.01
boots,boot,noun.artifact,noun.artifact.footwear,boot.n.01
arrests,arrest,noun.act,noun.act.acquiring,apprehension.n.04
surprises,surprise,noun.feeling,noun.feeling.astonishment,surprise.n.01
dresses,dress,noun.artifact,noun.artifact.clothing,dress.n.01
nightmares,nightmare,noun.state,noun.state.difficulty,nightmare.n.01
issues,issue,noun.cognition,noun.cognition,issue.n.01
backs,back,noun.body,noun.body,back.n.01
lots,lot,noun.quantity,noun.quantity.indefinite_quantity,batch.n.02
adaptations,adaptation,noun.communication,noun.communication,adaptation.n.01
tuxedos,tuxedo,noun.artifact,noun.artifact.clothing,dinner_jacket.n.01
rookies,rookie,noun.person,noun.person.unskilled_person,cub.n.01
shapes,shape,noun.attribute,noun.attribute,shape.n.01
works,work,noun.act,noun.act.work,work.n.01
balloons,balloon,noun.artifact,noun.artifact.conveyance,balloon.n.01
challenges,challenge,noun.state,noun.state.situation,challenge.n.01
essences,essence,noun.cognition,noun.cognition,kernel.n.03
bodies,body,noun.body,noun.body,body.n.01
plans,plan,noun.cognition,noun.cognition.idea,plan.n.01
details,detail,noun.cognition,noun.cognition,detail.n.01
braces,brace,noun.artifact,noun.artifact,brace.n.01
throwbacks,throwback,noun.person,noun.person,atavist.n.01
tricks,trick,noun.act,noun.act.choice,trick.n.01
clicks,click,noun.event,noun.event.sound,chink.n.03
sorts,sort,noun.cognition,noun.cognition.idea,kind.n.01
lists,list,noun.communication,noun.communication.information,list.n.01
hats,hat,noun.artifact,noun.artifact.clothing,hat.n.01
platelets,platelet,noun.substance,noun.substance,platelet.n.01
supplements,supplement,noun.communication,noun.communication.matter,addendum.n.01
vitamins,vitamin,noun.substance,noun.substance,vitamin.n.01
antioxidants,antioxidant,noun.substance,noun.substance,antioxidant.n.01
brows,brow,noun.body,noun.body,brow.n.01
cosmetics,cosmetic,noun.artifact,noun.artifact.toiletry,cosmetic.n.01
lips,lip,noun.body,noun.body.organ,lip.n.01
sites,site,noun.location,noun.location.region,site.n.01
headlines,headline,noun.communication,noun.communication.matter,headline.n.01
parasites,parasite,noun.animal,noun.animal,parasite.n.01
rules,rule,noun.cognition,noun.cognition.idea,rule.n.01
butlers,butler,noun.person,noun.person.servant,butler.n.01
eyelashes,eyelash,noun.body,noun.body.covering,eyelash.n.01
intestines,intestine,noun.body,noun.body.organ,intestine.n.01
microbes,microbe,noun.animal,noun.animal.microorganism,microbe.n.01
babies,baby,noun.person,noun.person.relative,baby.n.01
reasons,reason,noun.motive,noun.motive.rational_motive,reason.n.01
systems,system,noun.artifact,noun.artifact.system,system.n.01
burns,burn,noun.state,noun.state.evidence,burn.n.01
monsters,monster,noun.person,noun.person.ability,monster.n.01
squirrels,squirrel,noun.animal,noun.animal.rodent,squirrel.n.01
birds,bird,noun.animal,noun.animal,bird.n.01
animals,animal,noun.Tops,noun.Tops,animal.n.01
humans,human,noun.animal,noun.animal.primate,homo.n.02
bats,bat,noun.animal,noun.animal,bat.n.01
habits,habit,noun.cognition,noun.cognition,habit.n.01
ears,ear,noun.body,noun.body.organ,ear.n.01
places,place,noun.location,noun.location.point,topographic_point.n.01
kitchens,kitchen,noun.artifact,noun.artifact.area,kitchen.n.01
images,image,noun.cognition,noun.cognition.representation,image.n.01
kinds,kind,noun.cognition,noun.cognition.idea,kind.n.01
worms,worm,noun.animal,noun.animal,worm.n.01
eggs,egg,noun.animal,noun.animal,egg.n.01
tests,test,noun.cognition,noun.cognition.process,trial.n.02
programs,program,noun.cognition,noun.cognition.idea,plan.n.01
gloves,glove,noun.artifact,noun.artifact.equipment,baseball_glove.n.01
seeds,seed,noun.plant,noun.plant.reproductive_structure,seed.n.01
cats,cat,noun.animal,noun.animal.carnivore,cat.n.01
brains,brain,noun.body,noun.body,brain.n.01
rats,rat,noun.animal,noun.animal.rodent,rat.n.01
noodles,noodle,noun.food,noun.food,noodle.n.01
ingredients,ingredient,noun.artifact,noun.artifact.part,ingredient.n.01
meals,meal,noun.food,noun.food.nutriment,meal.n.01
allergies,allergy,noun.state,noun.state,allergy.n.01
inches,inch,noun.quantity,noun.quantity.linear_unit,inch.n.01
orders,order,noun.communication,noun.communication.speech_act,order.n.01
crawlers,crawler,noun.person,noun.person.follower,sycophant.n.01
answers,answer,noun.communication,noun.communication.statement,answer.n.01
stories,story,noun.communication,noun.communication.narrative,narrative.n.01
cells,cell,noun.artifact,noun.artifact,cell.n.01
drops,drop,noun.shape,noun.shape.round_shape,drop.n.01
lenses,lens,noun.artifact,noun.artifact,lens.n.01
services,service,noun.act,noun.act.work,service.n.01
devices,device,noun.artifact,noun.artifact,device.n.01
fees,fee,noun.possession,noun.possession.transferred_property,fee.n.01
obstacles,obstacle,noun.cognition,noun.cognition.cognitive_factor,obstacle.n.01
guests,guest,noun.person,noun.person.traveler,guest.n.01
views,view,noun.cognition,noun.cognition.attitude,position.n.03
marathons,marathon,noun.act,noun.act.work,marathon.n.01
videos,video,noun.communication,noun.communication.visual_communication,video.n.01
comments,comment,noun.communication,noun.communication.statement,remark.n.01
decisions,decision,noun.act,noun.act.choice,decision.n.01
shoes,shoe,noun.artifact,noun.artifact.footwear,shoe.n.01
toys,toy,noun.artifact,noun.artifact,plaything.n.01
goals,goal,noun.cognition,noun.cognition.goal,goal.n.01
temptations,temptation,noun.cognition,noun.cognition.cognitive_factor,temptation.n.01
foods,food,noun.Tops,noun.Tops,food.n.01
cookies,cookie,noun.food,noun.food.baked_goods,cookie.n.01
efforts,effort,noun.act,noun.act.attempt,attempt.n.01
worries,worry,noun.cognition,noun.cognition.stimulation,concern.n.04
tips,tip,noun.location,noun.location.region,tip.n.01
steps,step,noun.act,noun.act.choice,measure.n.01
fruits,fruit,noun.plant,noun.plant.reproductive_structure,fruit.n.01
vegetables,vegetable,noun.food,noun.food.produce,vegetable.n.01
dots,dot,noun.shape,noun.shape.round_shape,point.n.09
songs,song,noun.communication,noun.communication.auditory_communication,song.n.01
daughters,daughter,noun.person,noun.person.relative,daughter.n.01
spoons,spoon,noun.artifact,noun.artifact.ware,spoon.n.01
cops,cop,noun.person,noun.person.preserver,bull.n.05
stores,store,noun.artifact,noun.artifact.establishment,shop.n.01
hits,hit,noun.act,noun.act.accomplishment,hit.n.01
relationships,relationship,noun.relation,noun.relation,relationship.n.01
thoughts,thought,noun.cognition,noun.cognition.idea,idea.n.01
sisters,sister,noun.person,noun.person.relative,sister.n.01
genes,gene,noun.body,noun.body,gene.n.01
affirmations,affirmation,noun.communication,noun.communication.statement,avowal.n.01
quotes,quote,noun.communication,noun.communication.signal,quotation_mark.n.01
books,book,noun.communication,noun.communication.product,book.n.01
bills,bill,noun.communication,noun.communication.document,bill.n.01
drawers,drawer,noun.artifact,noun.artifact.area,drawer.n.01
streets,street,noun.artifact,noun.artifact.way,street.n.01
lemons,lemon,noun.food,noun.food.reproductive_structure,lemon.n.01
apples,apple,noun.food,noun.food.reproductive_structure,apple.n.01
blueberries,blueberry,noun.plant,noun.plant,blueberry.n.01
blackberries,blackberry,noun.food,noun.food.reproductive_structure,blackberry.n.01
grams,gram,noun.quantity,noun.quantity.mass_unit,gram.n.01
minerals,mineral,noun.substance,noun.substance.mineral,mineral.n.01
weights,weight,noun.attribute,noun.attribute.physical_property,weight.n.01
muscles,muscle,noun.body,noun.body.organ,muscle.n.01
periods,period,noun.time,noun.time,time_period.n.01
calories,calorie,noun.quantity,noun.quantity,calorie.n.01
sports,sport,noun.act,noun.act.diversion,sport.n.01
blasts,blast,noun.act,noun.act.touch,blast.n.01
neighborhoods,neighborhood,noun.location,noun.location.region,vicinity.n.01
buildings,building,noun.artifact,noun.artifact.building,building.n.01
windshields,windshield,noun.artifact,noun.artifact.protective_covering,windshield.n.01
circumstances,circumstance,noun.state,noun.state,circumstance.n.01
winds,wind,noun.phenomenon,noun.phenomenon.physical_phenomenon,wind.n.01
storms,storm,noun.phenomenon,noun.phenomenon.physical_phenomenon,storm.n.01
streams,stream,noun.object,noun.object.body_of_water,stream.n.01
hills,hill,noun.object,noun.object.geological_formation,hill.n.01
arroyos,arroyo,noun.object,noun.object.geological_formation,arroyo.n.01
teenagers,teenager,noun.person,noun.person.juvenile,adolescent.n.01
ages,age,noun.attribute,noun.attribute,age.n.01
crews,crew,noun.group,noun.group.unit,crew.n.01
sanctions,sanction,noun.communication,noun.communication.approval,sanction.n.01
shots,shot,noun.act,noun.act.propulsion,shooting.n.01
investigators,investigator,noun.person,noun.person.scientist,research_worker.n.01
candles,candle,noun.artifact,noun.artifact.source_of_illumination,candle.n.01
miles,mile,noun.quantity,noun.quantity.linear_unit,mile.n.01
vehicles,vehicle,noun.artifact,noun.artifact.conveyance,vehicle.n.01
officers,officer,noun.person,noun.person.skilled_worker,military_officer.n.01
shootings,shooting,noun.act,noun.act.propulsion,shooting.n.01
charges,charge,noun.act,noun.act.operation,charge.n.01
prosecutors,prosecutor,noun.person,noun.person.adult,prosecutor.n.01
drivers,driver,noun.person,noun.person.operator,driver.n.01
students,student,noun.person,noun.person.enrollee,student.n.01
peers,peer,noun.person,noun.person,peer.n.01
deputies,deputy,noun.person,noun.person.preserver,deputy.n.01
terrorists,terrorist,noun.person,noun.person,terrorist.n.01
suspects,suspect,noun.person,noun.person,suspect.n.01
robbers,robber,noun.person,noun.person.bad_person,robber.n.01
agents,agent,noun.object,noun.object,agent.n.01
cars,car,noun.artifact,noun.artifact.conveyance,car.n.01
limits,limit,noun.attribute,noun.attribute.magnitude,limit.n.01
terrains,terrain,noun.location,noun.location.region,terrain.n.01
tugs,tug,noun.act,noun.act.propulsion,tug.n.01
chemicals,chemical,noun.substance,noun.substance,chemical.n.01
charts,chart,noun.communication,noun.communication.visual_communication,chart.n.01
mountains,mountain,noun.object,noun.object.geological_formation,mountain.n.01
conditions,condition,noun.state,noun.state,condition.n.01
levels,level,noun.attribute,noun.attribute.degree,degree.n.01
amounts,amount,noun.possession,noun.possession.assets,sum.n.01
spots,spot,noun.location,noun.location.point,topographic_point.n.01
reminders,reminder,noun.communication,noun.communication,reminder.n.01
areas,area,noun.location,noun.location.region,area.n.01
skies,sky,noun.object,noun.object,sky.n.01
models,model,noun.cognition,noun.cognition.idea,model.n.01
threes,three,noun.quantity,noun.quantity.number,three.n.01
points,point,noun.cognition,noun.cognition.idea,point.n.01
concerns,concern,noun.cognition,noun.cognition.psychological_state,concern.n.01
checks,check,noun.possession,noun.possession.document,check.n.01
principles,principle,noun.cognition,noun.cognition.idea,principle.n.01
browns,brown,noun.attribute,noun.attribute.visual_property,brown.n.01
feelers,feeler,noun.animal,noun.animal,antenna.n.03
accolades,accolade,noun.communication,noun.communication.signal,award.n.02
congratulations,congratulation,noun.communication,noun.communication.speech_act,congratulation.n.01
heroes,hero,noun.person,noun.person.leader,hero.n.01
choices,choice,noun.cognition,noun.cognition.process,choice.n.01
policies,policy,noun.cognition,noun.cognition.idea,policy.n.01
runs,run,noun.act,noun.act.accomplishment,run.n.01
pounds,pound,noun.quantity,noun.quantity.mass_unit,pound.n.01
tickets,ticket,noun.communication,noun.communication.document,ticket.n.01
eyeballs,eyeball,noun.body,noun.body,eyeball.n.01
pleas,plea,noun.communication,noun.communication.speech_act,supplication.n.02
discussions,discussion,noun.communication,noun.communication.communication,discussion.n.01
milkshakes,milkshake,noun.food,noun.food.indefinite_quantity,milkshake.n.01
caucuses,caucus,noun.group,noun.group.gathering,caucus.n.01
debates,debate,noun.communication,noun.communication.auditory_communication,argument.n.03
veterans,veteran,noun.person,noun.person.skilled_worker,veteran.n.01
tweets,tweet,noun.event,noun.event.sound,tweet.n.01
companies,company,noun.group,noun.group.institution,company.n.01
donations,donation,noun.possession,noun.possession.transferred_property,contribution.n.02
vets,vet,noun.person,noun.person.adult,veterinarian.n.01
warriors,warrior,noun.person,noun.person,warrior.n.01
nonprofits,nonprofit,noun.act,noun.act.social_control,nonprofit_organization.n.01
opponents,opponent,noun.person,noun.person.contestant,opposition.n.04
groups,group,noun.Tops,noun.Tops,group.n.01
campaigns,campaign,noun.event,noun.event.social_event,political_campaign.n.01
plays,play,noun.communication,noun.communication,play.n.01
critics,critic,noun.person,noun.person.adult,critic.n.01
contributions,contribution,noun.act,noun.act.attempt,contribution.n.01
donors,donor,noun.person,noun.person.good_person,donor.n.01
contributors,contributor,noun.person,noun.person.good_person,subscriber.n.03
rumors,rumor,noun.communication,noun.communication.speech_act,rumor.n.01
defects,defect,noun.state,noun.state.imperfection,defect.n.01
cases,case,noun.event,noun.event,case.n.01
travelers,traveler,noun.person,noun.person,traveler.n.01
experts,expert,noun.person,noun.person,expert.n.01
cities,city,noun.location,noun.location.region,city.n.01
towns,town,noun.location,noun.location.region,town.n.01
screens,screen,noun.artifact,noun.artifact.surface,screen.n.01
mosquitos,mosquito,noun.animal,noun.animal.arthropod,mosquito.n.01
trials,trial,noun.act,noun.act.attempt,test.n.05
protesters,protester,noun.person,noun.person,dissenter.n.01
militants,militant,noun.person,noun.person.disputant,militant.n.01
troopers,trooper,noun.person,noun.person.skilled_worker,cavalryman.n.01
authorities,authority,noun.attribute,noun.attribute.power,authority.n.01
occupiers,occupier,noun.person,noun.person.inhabitant,resident.n.01
assurances,assurance,noun.cognition,noun.cognition.psychological_state,assurance.n.01
followers,follower,noun.person,noun.person,follower.n.01
talks,talk,noun.communication,noun.communication.auditory_communication,talk.n.01
relations,relation,noun.Tops,noun.Tops,relation.n.01
diplomats,diplomat,noun.person,noun.person.skilled_worker,diplomat.n.01
factories,factory,noun.artifact,noun.artifact.building_complex,factory.n.01
photographs,photograph,noun.artifact,noun.artifact.representation,photograph.n.01
scientists,scientist,noun.person,noun.person,scientist.n.01
killings,killing,noun.event,noun.event.change,killing.n.01
allegations,allegation,noun.communication,noun.communication.statement,allegation.n.01
scenarios,scenario,noun.communication,noun.communication,scenario.n.01
concerts,concert,noun.communication,noun.communication.social_event,concert.n.01
artists,artist,noun.person,noun.person.creator,artist.n.01
promoters,promoter,noun.person,noun.person.communicator,promoter.n.01
operators,operator,noun.relation,noun.relation,operator.n.01
clubs,club,noun.group,noun.group.unit,baseball_club.n.01
seats,seat,noun.location,noun.location.region,seat.n.01
memories,memory,noun.cognition,noun.cognition.representation,memory.n.01
teachers,teacher,noun.person,noun.person.adult,teacher.n.01
ceremonies,ceremony,noun.event,noun.event.social_event,ceremony.n.01
wreaths,wreath,noun.artifact,noun.artifact.decoration,wreath.n.01
pictures,picture,noun.artifact,noun.artifact.representation,picture.n.01
horizons,horizon,noun.location,noun.location.line,horizon.n.01
branches,branch,noun.group,noun.group.unit,branch.n.01
generations,generation,noun.group,noun.group.people,coevals.n.01
dolls,doll,noun.artifact,noun.artifact.plaything,doll.n.01
types,type,noun.cognition,noun.cognition.idea,type.n.01
sizes,size,noun.attribute,noun.attribute.magnitude,size.n.01
additions,addition,noun.artifact,noun.artifact.part,addition.n.01
options,option,noun.possession,noun.possession.document,option.n.01
sales,sale,noun.act,noun.act.transaction,sale.n.01
brands,brand,noun.communication,noun.communication.language_unit,trade_name.n.01
consumers,consumer,noun.person,noun.person.user,consumer.n.01
audiences,audience,noun.group,noun.group.gathering,audience.n.01
colors,color,noun.attribute,noun.attribute.visual_property,color.n.01
ethnicities,ethnicity,noun.attribute,noun.attribute,ethnicity.n.01
owners,owner,noun.person,noun.person.capitalist,owner.n.01
stadiums,stadium,noun.artifact,noun.artifact,stadium.n.01
faces,face,noun.body,noun.body.external_body_part,face.n.01
teams,team,noun.group,noun.group.unit,team.n.01
meetings,meeting,noun.group,noun.group.gathering,meeting.n.01
maneuvers,maneuver,noun.act,noun.act.operation,maneuver.n.01
lanes,lane,noun.artifact,noun.artifact.way,lane.n.01
breaths,breath,noun.act,noun.act.organic_process,breath.n.01
mechanics,mechanic,noun.person,noun.person.skilled_worker,machinist.n.01
wings,wing,noun.animal,noun.animal,wing.n.01
enemies,enemy,noun.group,noun.group.unit,enemy.n.01
officials,official,noun.person,noun.person.skilled_worker,official.n.01
stones,stone,noun.object,noun.object,rock.n.01
laws,law,noun.group,noun.group.collection,law.n.01
albums,album,noun.communication,noun.communication.medium,album.n.01
flowers,flower,noun.plant,noun.plant.flower,flower.n.01
parties,party,noun.group,noun.group,party.n.01
ladies,lady,noun.person,noun.person.adult,lady.n.01
backgrounds,background,noun.attribute,noun.attribute,background.n.01
possibilities,possibility,noun.cognition,noun.cognition.belief,possibility.n.01
dues,due,noun.attribute,noun.attribute,due.n.01
nonmembers,nonmember,noun.person,noun.person,nonmember.n.01
unions,union,noun.group,noun.group,union.n.01
voices,voice,noun.attribute,noun.attribute.sound_property,voice.n.01
justices,justice,noun.attribute,noun.attribute.morality,justice.n.01
residents,resident,noun.person,noun.person.inhabitant,resident.n.01
jurors,juror,noun.person,noun.person.expert,juror.n.01
confrontations,confrontation,noun.communication,noun.communication.speech_act,confrontation.n.01
cuts,cut,noun.possession,noun.possession.assets,cut.n.01
bruises,bruise,noun.state,noun.state.injury,bruise.n.01
visitors,visitor,noun.person,noun.person.traveler,visitor.n.01
landers,lander,noun.location,noun.location,lander.n.01
notices,notice,noun.communication,noun.communication.statement,notice.n.01
sleds,sled,noun.artifact,noun.artifact.conveyance,sled.n.01
investors,investor,noun.person,noun.person.capitalist,investor.n.01
diapers,diaper,noun.artifact,noun.artifact.clothing,diaper.n.01
crowds,crowd,noun.group,noun.group.gathering,crowd.n.01
bottles,bottle,noun.artifact,noun.artifact.vessel,bottle.n.01
temperatures,temperature,noun.attribute,noun.attribute.physical_property,temperature.n.01
advisories,advisory,noun.communication,noun.communication.statement,advisory.n.01
currents,current,noun.phenomenon,noun.phenomenon.physical_phenomenon,current.n.01
highs,high,noun.attribute,noun.attribute.degree,high.n.01
degrees,degree,noun.attribute,noun.attribute.degree,degree.n.01
clouds,cloud,noun.phenomenon,noun.phenomenon.physical_phenomenon,cloud.n.01
showers,shower,noun.artifact,noun.artifact.fixture,shower.n.01
lows,low,noun.state,noun.state,low.n.01
wars,war,noun.act,noun.act.military_action,war.n.01
themes,theme,noun.communication,noun.communication.subject,subject.n.01
mammograms,mammogram,noun.artifact,noun.artifact.representation,mammogram.n.01
walnuts,walnut,noun.food,noun.food.reproductive_structure,walnut.n.01
recipes,recipe,noun.communication,noun.communication.direction,recipe.n.01
recommendations,recommendation,noun.communication,noun.communication.proposal,recommendation.n.01
hormones,hormone,noun.body,noun.body.body_substance,hormone.n.01
noises,noise,noun.event,noun.event.sound,noise.n.01
waistlines,waistline,noun.body,noun.body.area,waist.n.01
prices,price,noun.attribute,noun.attribute,monetary_value.n.01
tigers,tiger,noun.person,noun.person,tiger.n.01
yards,yard,noun.quantity,noun.quantity.linear_unit,yard.n.01
bears,bear,noun.animal,noun.animal.carnivore,bear.n.01
raiders,raider,noun.person,noun.person.bad_person,plunderer.n.01
developments,development,noun.act,noun.act.change_of_state,development.n.01
photos,photo,noun.artifact,noun.artifact.representation,photograph.n.01
khakis,khaki,noun.artifact,noun.artifact.fabric,khaki.n.01
subtitles,subtitle,noun.communication,noun.communication.indication,subtitle.n.01
hopes,hope,noun.feeling,noun.feeling,hope.n.01
nuts,nut,noun.plant,noun.plant.reproductive_structure,nut.n.01
wands,wand,noun.artifact,noun.artifact.rod,wand.n.01
