"case","word","IPA","number","lemma","lemma_english","gender","frequency","freq..per.million","noun.type","X"
"gen","aborcji","abɔrcji","sg","aborcja","abortion","f",226,0.04332,"common",""
"nom","absolwenci","absɔlvɛnci","pl","absolwent","graduate","m1",334,0.06403,"common",""
"nom","absolwent","absɔlvɛnt","sg","absolwent","graduate","m1",493,0.09451,"common",""
"inst","absolwentem","absɔlvɛntɛm","sg","absolwent","graduate","m1",149,0.02856,"common",""
"nom","absolwentka","absɔlvɛntka","sg","absolwentka","graduate","f",200,0.03834,"common",""
"gen","absolwentów","absɔlvɛntuv","pl","absolwent","graduate","m1",662,0.12691,"common",""
"nom","Adam","adam","sg","Adam","Adam","m1",1885,0.36136,"proper",""
"gen","Adama","adama","sg","Adam","Adam","m1",973,0.18653,"proper",""
"acc","Adama","adama","sg","Adam","Adam","m1",973,0.18653,"proper",""
"nom","adaptacja","adaptacja","sg","adaptacja","adaptation","f",164,0.03144,"common",""
"gen","adaptacji","adaptacji","sg","adaptacja","adaptation","f",283,0.05425,"common",""
"nom","admin","admin","sg","admin","admin","m1",279,0.05348,"common","E"
"nom","administracja","administracja","sg","administracja","administration","f",342,0.06556,"common",""
"gen","administracji","administracji","sg","administracja","administration","f",1792,0.34353,"common",""
"loc","administracji","administracji","sg","administracja","administration","f",1792,0.34353,"common",""
"nom","administrator","administratɔr","sg","administrator","administrator","m1",877,0.16812,"common",""
"acc","administratora","administratɔra","sg","administrator","administrator","m1",638,0.12231,"common",""
"gen","administratora","administratɔra","sg","administrator","administrator","m1",638,0.12231,"common",""
"inst","administratorem","administratɔrɛm","sg","administrator","administrator","m1",419,0.08032,"common",""
"acc","adres","adrɛs","sg","adres","address","m3",5016,0.96158,"common",""
"nom","adres","adrɛs","sg","adres","address","m3",5016,0.96158,"common",""
"inst","adresem","adrɛsɛm","sg","adres","address","m3",1203,0.23062,"common",""
"gen","adresów","adrɛsuv","pl","adres","address","m3",274,0.05253,"common",""
"gen","adresu","adrɛsu","sg","adres","address","m3",604,0.11579,"common",""
"nom","adresy","adrɛsɨ","pl","adres","address","m3",354,0.06786,"common",""
"acc","adresy","adrɛsɨ","pl","adres","address","m3",354,0.06786,"common",""
"nom","Adrian","adrian","sg","Adrian","Adrian","m1",327,0.06269,"proper",""
"nom","adwokat","advɔkat","sg","adwokat","advocate","m1",231,0.04428,"common",""
"loc","Afganistanie","afganistaniɛ","sg","Afganistan","Afghanistan","m3",157,0.0301,"proper",""
"loc","Afryce","afrɨcɛ","sg","Afryka","Africa","f",292,0.05598,"proper",""
"gen","Afryki","afrɨki","sg","Afryka","Africa","f",424,0.08128,"proper",""
"nom","Agata","agata","sg","Agata","Agata","f",422,0.0809,"proper",""
"nom","Age","agɛ","sg","Age","Age","m3",152,0.02914,"common","E"
"nom","agencja","agɛncja","sg","agencja","agency","f",1558,0.29867,"common",""
"inst","agencją","agɛncją","sg","agencja","agency","f",189,0.03623,"common",""
"nom","agencje","agɛncjɛ","pl","agencja","agency","f",215,0.04122,"common",""
"acc","agencję","agɛncjɛ","sg","agencja","agency","f",225,0.04313,"common",""
"gen","agencji","agɛncji","pl","agencja","agency","f",1410,0.2703,"common",""
"gen","agencji","agɛncji","sg","agencja","agency","f",1410,0.2703,"common",""
"nom","agent","agɛnt","sg","agent","agent","m1",188,0.03604,"common",""
"nom","Agnieszka","agniɛʃka","sg","Agnieszka","Agnes","f",1053,0.20186,"proper",""
"gen","Agnieszki","agniɛʃki","sg","Agnieszka","Agnes","f",321,0.06154,"proper",""
"gen","agresji","agrɛsji","sg","agresja","aggression","f",301,0.0577,"common",""
"nom","Air","air","sg","Air","Air","m3",413,0.07917,"proper","E"
"nom","akademia","akadɛmia","sg","akademia","academy","f",671,0.12863,"common",""
"acc","akademię","akadɛmiɛ","sg","akademia","academy","f",171,0.03278,"common",""
"gen","akademii","akadɛmii","sg","akademia","academy","f",1880,0.3604,"common",""
"loc","akademii","akadɛmii","sg","akademia","academy","f",1880,0.3604,"common",""
"inst","akcentem","akcɛntɛm","sg","akcent","accent","m3",175,0.03355,"common",""
"nom","akceptacja","akcɛptacja","sg","akceptacja","acceptance","f",147,0.02818,"common",""
"acc","akceptację","akcɛptacjɛ","sg","akceptacja","acceptance","f",216,0.04141,"common",""
"gen","akceptacji","akcɛptacji","sg","akceptacja","acceptance","f",365,0.06997,"common",""
"acc","akcesoria","akcɛsɔria","pl","akcesoria","accessories","p3",636,0.12192,"common",""
"gen","akcesoriów","akcɛsɔriuv","pl","akcesorium","accessory","n",468,0.08972,"common",""
"loc","akcie","akciɛ","sg","akt","Act","m3",164,0.03144,"common",""
"nom","akcja","akcja","sg","akcja","share","f",1826,0.35005,"common",""
"inst","akcją","akcją","sg","akcja","share","f",214,0.04102,"common",""
"loc","akcjach","akcjacx","pl","akcja","share","f",186,0.03566,"common",""
"nom","akcje","akcjɛ","pl","akcja","share","f",921,0.17656,"common",""
"acc","akcje","akcjɛ","pl","akcja","share","f",921,0.17656,"common",""
"acc","akcję","akcjɛ","sg","akcja","share","f",978,0.18748,"common",""
"gen","akcji","akcji","pl","akcja","share","f",4627,0.88701,"common",""
"gen","akcji","akcji","sg","akcja","share","f",4627,0.88701,"common",""
"loc","akcji","akcji","sg","akcja","share","f",4627,0.88701,"common",""
"gen","akt","akt","pl","akta","files","n",311,0.05962,"common",""
"nom","akt","akt","sg","akta","files","n",311,0.05962,"common",""
"acc","akt","akt","sg","akta","files","n",311,0.05962,"common",""
"gen","akt","akt","pl","akt","Act","m3",725,0.13898,"common",""
"nom","akt","akt","sg","akt","Act","m3",725,0.13898,"common",""
"acc","akt","akt","sg","akt","Act","m3",725,0.13898,"common",""
"inst","aktem","aktɛm","sg","akt","Act","m3",175,0.03355,"common",""
"nom","aktor","aktɔr","sg","aktor","actor","m1",435,0.08339,"common",""
"gen","aktora","aktɔra","sg","aktor","actor","m1",284,0.05444,"common",""
"nom","aktorka","aktɔrka","sg","aktorka","actress","f",294,0.05636,"common",""
"gen","aktorów","aktɔruv","pl","aktor","actor","m1",426,0.08167,"common",""
"nom","aktorzy","aktɔʒɨ","pl","aktor","actor","m1",328,0.06288,"common",""
"gen","aktów","aktuv","pl","akt","Act","m3",359,0.06882,"common",""
"gen","aktu","aktu","sg","akt","Act","m3",477,0.09144,"common",""
"nom","aktualizacja","aktualizacja","sg","aktualizacja","update","f",625,0.11981,"common",""
"gen","aktualizacji","aktualizacji","sg","aktualizacja","update","f",478,0.09163,"common",""
"gen","aktualności","aktualnɔɕci","pl","aktualność","topicality","f",1334,0.25573,"common",""
"nom","akty","aktɨ","pl","akt","Act","m3",275,0.05272,"common",""
"gen","aktywizacji","aktɨvizacji","sg","aktywizacja","activation","f",226,0.04332,"common",""
"nom","aktywność","aktɨvnɔɕtɕ","sg","aktywność","activity","f",920,0.17637,"common",""
"acc","aktywność","aktɨvnɔɕtɕ","sg","aktywność","activity","f",920,0.17637,"common",""
"gen","aktywności","aktɨvnɔɕci","sg","aktywność","activity","f",1659,0.31803,"common",""
"inst","aktywnością","aktɨvnɔɕcią","sg","aktywność","activity","f",146,0.02799,"common",""
"gen","aktywów","aktɨvuv","pl","aktywa","assets","n",253,0.0485,"common",""
"nom","akumulator","akumulatɔr","sg","akumulator","battery","m3",193,37,"common",""
"gen","akumulatora","akumulatɔra","sg","akumulator","battery","m3",169,0.0324,"common",""
"gen","akumulatorów","akumulatɔruv","pl","akumulator","battery","m3",141,0.02703,"common",""
"gen","akwarium","akvarium","sg","akwarium","aquarium","n",417,0.07994,"common",""
"nom","Albert"," albɛrt","sg","Albert","Albert","m1",157,0.0301,"proper",""
"nom","album","album","sg","album","album","m3",1069,0.20493,"common",""
"acc","album","album","sg","album","album","m3",1069,0.20493,"common",""
"loc","albumie","albumiɛ","sg","album","album","m3",145,0.0278,"common",""
"gen","albumów","albumuv","pl","album","album","m3",176,0.03374,"common",""
"gen","albumu","albumu","sg","album","album","m3",463,0.08876,"common",""
"acc","albumy","albumɨ","pl","album","album","m3",177,0.03393,"common",""
"gen","alei","alɛi","sg","aleja","avenue","f",245,0.04697,"common",""
"nom","Aleksander","alɛksandɛr","sg","Aleksander","Alexander","m1",555,0.10639,"proper",""
"gen","Aleksandra","alɛksandra","sg","Aleksander","Alexander","m1",443,0.08492,"proper",""
"nom","Aleksandra","alɛksandra","sg","Aleksander","Alexander","m1",443,0.08492,"proper",""
"gen","Aleksandra","alɛksandra","sg","Aleksandra","Alexander","f",486,0.09317,"proper",""
"nom","Aleksandra","alɛksandra","sg","Aleksandra","Alexander","f",486,0.09317,"proper",""
"nom","alfa","alfa","sg","alfa","alpha","f",152,0.02914,"common",""
"nom","Alicja","alicja","sg","Alicja","Alice","f",350,0.0671,"proper",""
"gen","alimentów","alimɛntuv","pl","alimenty","maintenance","n",237,0.04543,"common",""
"nom","alkohol","alkɔxɔl","sg","alkohol","alcohol","m3",491,0.09413,"common",""
"acc","alkohol","alkɔxɔl","sg","alkohol","alcohol","m3",491,0.09413,"common",""
"inst","alkoholem","alkɔxɔlɛm","sg","alkohol","alcohol","m3",154,0.02952,"common",""
"gen","alkoholu","alkɔxɔlu","sg","alkohol","alcohol","m3",1200,0.23004,"common",""
"nom","All","all","sg","All","All","m3",183,0.03508,"proper","E"
"loc","allegro","allɛgrɔ","sg","allegro","allegro","n",584,0.11195,"common",""
"gen","allegro","allɛgrɔ","sg","allegro","allegro","n",584,0.11195,"common",""
"nom","alternatywa","altɛrnatɨva","sg","alternatywa","alternative","f",224,0.04294,"common",""
"inst","alternatywą","altɛrnatɨvą","sg","alternatywa","alternative","f",225,0.04313,"common",""
"acc","alternatywę","altɛrnatɨvɛ","sg","alternatywa","alternative","f",167,0.03201,"common",""
"gen","alternatywy","altɛrnatɨvɨ","sg","alternatywa","alternative","f",191,0.03662,"common",""
"gen","aluminium","aluminium","sg","aluminium","aluminum","n",343,0.06575,"common",""
"gen","amatorów","amatɔruv","pl","amator","amateur","m1",358,0.06863,"common",""
"nom","amatorzy","amatɔʒɨ","pl","amator","amateur","m1",158,0.03029,"common",""
"nom","ambasador","ambasadɔr","sg","ambasador","ambassador","m1",180,0.03451,"common",""
"loc","Ameryce","amɛrɨcɛ","sg","Ameryka","America","f",397,0.07611,"proper",""
"nom","Ameryka","amɛrɨka","sg","Ameryka","America","f",154,0.02952,"proper",""
"nom","Amerykanie","amɛrɨkaniɛ","pl","Amerykanin","American","m1",274,0.05253,"proper",""
"gen","Amerykanów","amɛrɨkanuv","pl","Amerykanin","American","m1",204,0.03911,"proper",""
"gen","Ameryki","amɛrɨki","sg","Ameryka","America","f",537,0.10294,"proper",""
"gen","amunicji","amunicji","sg","amunicja","ammunition","f",194,0.03719,"common",""
"nom","An","an","sg","Andrzej","Andrew","m1",141,0.02703,"proper",""
"gen","analiz","analiz","pl","analiza","analysis","f",414,0.07936,"common",""
"nom","analiza","analiza","sg","analiza","analysis","f",1096,0.21011,"common",""
"acc","analizę","analizɛ","sg","analiza","analysis","f",462,0.08857,"common",""
"loc","analizie","analiziɛ","sg","analiza","analysis","f",393,0.07534,"common",""
"nom","analizy","analizɨ","pl","analiza","analysis","f",1471,0.28199,"common",""
"gen","analizy","analizɨ","sg","analiza","analysis","f",1471,0.28199,"common",""
"acc","analizy","analizɨ","pl","analiza","analysis","f",1471,0.28199,"common",""
"nom","android","andrɔit","sg","android","android","m3",243,0.04658,"common","E"
"nom","Andrzej","andʒɛj","sg","Andrzej","Andrew","m1",3173,0.60827,"proper",""
"gen","Andrzeja","andʒɛja","sg","Andrzej","Andrew","m1",1253,0.2402,"proper",""
"acc","Andrzeja","andʒɛja","sg","Andrzej","Andrew","m1",1253,0.2402,"proper",""
"inst","Andrzejem","andʒɛjɛm","sg","Andrzej","Andrew","m1",235,0.04505,"proper",""
"voc","Andy","andɨ","pl","Anda","Anda","f",215,0.04122,"proper",""
"inst","aneksem","anɛksɛm","sg","aneks","annex","m3",145,0.0278,"common",""
"nom","Aneta","anɛta","sg","Aneta","Aneta","f",200,0.03834,"proper",""
"gen","angielskiego"," angiɛlskiɛgɔ","sg","angielski","English","m3",166,0.03182,"common",""
"loc","Anglii","anglii","sg","Anglia","England","f",675,0.1294,"proper",""
"gen","Anglii","anglii","sg","Anglia","England","f",675,0.1294,"proper",""
"gen","Ani","ani","sg","Ania","Ania","f",197,0.03777,"proper",""
"nom","Ania","ania","sg","Ania","Ania","f",574,0.11004,"proper",""
"acc","animacje","animacjɛ","pl","animacja","animation","f",170,0.03259,"common",""
"gen","animacji","animacji","sg","animacja","animation","f",255,0.04888,"common",""
"nom","anioł","aniɔw","sg","anioł","angel","m2",231,0.04428,"common",""
"gen","aniołów","aniɔwuv","pl","anioł","angel","m2",215,0.04122,"common",""
"nom","ankieta","ankiɛta","sg","ankieta","questionnaire","f",162,0.03106,"common",""
"acc","ankietę","ankiɛtɛ","sg","ankieta","questionnaire","f",141,0.02703,"common",""
"gen","ankiety","ankiɛtɨ","sg","ankieta","questionnaire","f",314,0.06019,"common",""
"nom","Anna","anna","sg","Anna","Anna","f",2052,0.39337,"proper",""
"inst","Anną","anną","sg","Anna","Anna","f",159,0.03048,"proper",""
"acc","Annę","annɛ","sg","Anna","Anna","f",169,0.0324,"proper",""
"gen","Anny","annɨ","sg","Anna","Anna","f",747,0.1432,"proper",""
"loc","antenie","antɛniɛ","sg","antena","antenna","f",385,0.07381,"common",""
"gen","anteny","antɛnɨ","sg","antena","antenna","f",219,0.04198,"common",""
"nom","Antoni","antɔni","sg","Antoni","Antoni","m1",512,0.09815,"proper",""
"gen","Antoniego","antɔniɛgɔ","sg","Antoni","Antoni","m1",346,0.06633,"proper",""
"nom","aparat","aparat","sg","aparat","the camera","m3",740,0.14186,"common",""
"acc","aparat","aparat","sg","aparat","the camera","m3",740,0.14186,"common",""
"inst","aparatem","aparatɛm","sg","aparat","the camera","m3",210,0.04026,"common",""
"gen","aparatów","aparatuv","pl","aparat","the camera","m3",177,0.03393,"common",""
"gen","aparatu","aparatu","sg","aparat","the camera","m3",481,0.09221,"common",""
"gen","aparatury","aparaturɨ","sg","aparatura","apparatus","f",168,0.03221,"common",""
"nom","apartament","apartamɛnt","sg","apartament","apartment","m3",370,0.07093,"common",""
"gen","apartamentów","apartamɛntuv","pl","apartament","apartment","m3",147,0.02818,"common",""
"nom","apartamenty","apartamɛntɨ","pl","apartament","apartment","m3",428,0.08205,"common",""
"acc","apel","apɛl","sg","apel","appeal","m3",419,0.08032,"common",""
"nom","apel","apɛl","sg","apel","appeal","m3",419,0.08032,"common",""
"nom","aplikacja","aplikacja","sg","aplikacja","app","f",714,0.13688,"common",""
"nom","aplikacje","aplikacjɛ","pl","aplikacja","app","f",507,0.09719,"common",""
"acc","aplikację","aplikacjɛ","sg","aplikacja","app","f",389,0.07457,"common",""
"loc","aplikacji","aplikacji","sg","aplikacja","app","f",1806,0.34621,"common",""
"gen","aplikacji","aplikacji","sg","aplikacja","app","f",1806,0.34621,"common",""
"gen","aplikacji","aplikacji","pl","aplikacja","app","f",1806,0.34621,"common",""
"nom","apostoł","apɔstɔw","sg","apostoł","apostle","m1",232,0.04447,"common",""
"gen","Apostoła","apɔstɔwa","sg","Apostoł","Apostle","m1",127,0.02435,"proper","b"
"gen","apostołów","apɔstɔwuv","pl","apostoł","apostle","m1",216,0.04141,"common",""
"gen","Apple","applɛ","sg","Apple","Apple","n",184,0.03527,"proper","E, brand"
"nom","Apple","applɛ","sg","Apple","Apple","n",184,0.03527,"proper","E, brand"
"gen","Apple","applɛ","sg","Apple","Apple","m3",374,0.0717,"proper","E, brand"
"nom","Apple","applɛ","sg","Apple","Apple","m3",374,0.0717,"proper","E, brand"
"loc","aptece","aptɛcɛ","sg","apteka","pharmacy","f",142,0.02722,"common",""
"nom","apteka","aptɛka","sg","apteka","pharmacy","f",160,0.03067,"common",""
"gen","aranżacji","aranʒacji","pl","aranżacja","arrangement","f",459,0.08799,"common",""
"gen","archidiecezji","arcxidiɛcɛzji","sg","archidiecezja","archdiocese","f",205,0.0393,"common",""
"nom","architekci","arcxitɛkci","pl","architekta","architect","m1",194,0.03719,"common",""
"nom","architekt","arcxitɛkt","sg","architekt","architect","m1",207,0.03968,"common",""
"gen","architekta","arcxitɛkta","sg","architekt","architect","m1",266,0.05099,"common",""
"gen","architektów","arcxitɛktuv","pl","architekta","architect","m1",422,0.0809,"common",""
"nom","architektura","arcxitɛktura","sg","architektura","architecture","f",437,0.08377,"common",""
"acc","architekturę","arcxitɛkturɛ","sg","architektura","architecture","f",192,0.03681,"common",""
"gen","architektury","arcxitɛkturɨ","sg","architektura","architecture","f",1159,0.22218,"common",""
"loc","architekturze","arcxitɛktuʒɛ","sg","architektura","architecture","f",245,0.04697,"common",""
"gen","archiwów","arcxivuv","pl","archiwum","archives","n",167,0.03201,"common",""
"gen","archiwum","arcxivum","sg","archiwum","archives","n",1210,0.23196,"common",""
"nom","archiwum","arcxivum","sg","archiwum","archives","n",1210,0.23196,"common",""
"loc","archiwum","arcxivum","sg","archiwum","archives","n",1210,0.23196,"common",""
"nom","arcybiskup","arcɨbiskup","sg","arcybiskup","archbishop","m1",174,0.03336,"common",""
"nom","arena","arɛna","sg","arena","arena","f",283,0.05425,"common",""
"loc","arenie","arɛniɛ","sg","arena","arena","f",268,0.05138,"common",""
"gen","aresztu","arɛʃtu","sg","areszt","arrest","m3",171,0.03278,"common",""
"nom","argument","argumɛnt","sg","argument","argument","m3",349,0.0669,"common",""
"inst","argumentem","argumɛntɛm","sg","argument","argument","m3",142,0.02722,"common",""
"gen","argumentów","argumɛntuv","pl","argument","argument","m3",334,0.06403,"common",""
"acc","argumenty","argumɛntɨ","pl","argument","argument","m3",468,0.08972,"common",""
"nom","argumenty","argumɛntɨ","pl","argument","argument","m3",468,0.08972,"common",""
"gen","arka","arka","sg","arka","ark","f",139,0.02665,"common",""
"gen","Arka","arka","sg","Arek","Arek","m1",167,0.03201,"proper",""
"nom","Arkadiusz","arkadiuʃ","sg","Arkadiusz","Arkadiusz","m1",328,0.06288,"proper",""
"nom","armia","armia","sg","armia","army","f",447,0.08569,"common",""
"acc","armię","armiɛ","sg","armia","army","f",195,0.03738,"common",""
"gen","armii","armii","sg","armia","army","f",785,0.15049,"common",""
"loc","armii","armii","sg","armia","army","f",785,0.15049,"common",""
"gen","Armii","armii","sg","Armia","Army","f",771,0.1478,"proper","b"
"loc","Armii","armii","sg","Armia","Army","f",771,0.1478,"proper","b"
"nom","Artur"," artur","sg","Artur","Arthur","m1",863,0.16544,"proper",""
"gen","Artura","artura","sg","Artur","Arthur","m1",311,0.05962,"proper",""
"nom","artykuł","artɨkuw","sg","artykuł","article","m3",2240,0.42941,"common",""
"acc","artykuł","artɨkuw","sg","artykuł","article","m3",2240,0.42941,"common",""
"loc","artykułach","artɨkuwacx","pl","artykuł","article","m3",151,0.02895,"common",""
"loc","artykule","artɨkulɛ","sg","artykuł","article","m3",870,0.16678,"common",""
"inst","artykułem","artɨkuwɛm","sg","artykuł","article","m3",156,0.02991,"common",""
"gen","artykułów","artɨkuwuv","pl","artykuł","article","m3",1402,0.26877,"common",""
"gen","artykułu","artɨkuwu","sg","artykuł","article","m3",1220,0.23388,"common",""
"acc","artykuły","artɨkuwɨ","pl","artykuł","article","m3",1734,0.33241,"common",""
"nom","artykuły","artɨkuwɨ","pl","artykuł","article","m3",1734,0.33241,"common",""
"gen","artylerii","artɨlɛrii","sg","artyleria","artillery","f",226,0.04332,"common",""
"nom","artyści","artɨɕci","pl","artysta","artist","m1",582,0.11157,"common",""
"nom","artysta","artɨsta","sg","artysta","artist","m1",627,0.1202,"common",""
"inst","artystami","artɨstami","pl","artysta","artist","m1",141,0.02703,"common",""
"nom","artystka","artɨstka","sg","artystka","artist","f",222,0.04256,"common",""
"gen","artystki","artɨstki","sg","artystka","artist","f",167,0.03201,"common",""
"gen","artystów","artɨstuv","pl","artysta","artist","m1",1340,0.25688,"common",""
"acc","artystów","artɨstuv","pl","artysta","artist","m1",1340,0.25688,"common",""
"gen","artysty","artɨstɨ","sg","artysta","artist","m1",575,0.11023,"common",""
"nom","Asia","asia","sg","Asia","Asia","f",141,0.02703,"proper",""
"voc","asortymencie","asɔrtɨmɛnciɛ","sg","asortyment","assortment","m3",201,0.03853,"common",""
"nom","asortyment","asɔrtɨmɛnt","sg","asortyment","assortment","m3",457,0.08761,"common",""
"gen","asortymentu","asɔrtɨmɛntu","sg","asortyment","assortment","m3",184,0.03527,"common",""
"loc","aspekcie","aspɛkciɛ","sg","aspekt","aspect","m3",237,0.04543,"common",""
"nom","aspekt","aspɛkt","sg","aspekt","aspect","m3",331,0.06345,"common",""
"loc","aspektach","aspɛktacx","pl","aspekt","aspect","m3",158,0.03029,"common",""
"gen","aspektów","aspɛktuv","pl","aspekt","aspect","m3",271,0.05195,"common",""
"acc","aspekty","aspɛktɨ","pl","aspekt","aspect","m3",510,0.09777,"common",""
"nom","aspekty","aspɛktɨ","pl","aspekt","aspect","m3",510,0.09777,"common",""
"gen","Association","assɔciatiɔn","sg","Association","Association","f",171,0.03278,"proper","E"
"nom","asystent","asɨstɛnt","sg","asystent","assistant","m1",230,0.04409,"common",""
"nom","atak","atak","sg","atak","attack","m3",826,0.15835,"common",""
"acc","atak","atak","sg","atak","attack","m3",826,0.15835,"common",""
"nom","ataki","ataki","pl","atak","attack","m3",391,0.07496,"common",""
"acc","ataki","ataki","pl","atak","attack","m3",391,0.07496,"common",""
"gen","ataków","atakuv","pl","atak","attack","m3",249,0.04773,"common",""
"loc","ataku","ataku","sg","atak","attack","m3",910,0.17445,"common",""
"gen","ataku","ataku","sg","atak","attack","m3",910,0.17445,"common",""
"nom","atmosfera","atmɔsfɛra","sg","atmosfera","atmosphere","f",811,0.15547,"common",""
"acc","atmosferę","atmɔsfɛrɛ","sg","atmosfera","atmosphere","f",644,0.12346,"common",""
"gen","atmosfery","atmɔsfɛrɨ","sg","atmosfera","atmosphere","f",499,0.09566,"common",""
"loc","atmosferze","atmɔsfɛʒɛ","sg","atmosfera","atmosphere","f",692,0.13266,"common",""
"inst","atrakcją","atrakcją","sg","atrakcja","attraction","f",422,0.0809,"common",""
"acc","atrakcje","atrakcjɛ","pl","atrakcja","attraction","f",795,0.1524,"common",""
"gen","atrakcji","atrakcji","pl","atrakcja","attraction","f",1172,0.22467,"common",""
"inst","atutem","atutɛm","sg","atut","advantage","m3",411,0.07879,"common",""
"voc","atuty","atutɨ","pl","atut","advantage","m3",194,0.03719,"common",""
"loc","aucie","auciɛ","sg","auto","car","n",172,0.03297,"common",""
"nom","Audi","audi","sg","Audi","Audi","n",318,0.06096,"proper","brand"
"gen","audycji","audɨcji","sg","audycja","program","f",372,0.07131,"common",""
"gen","audycji","audɨcji","pl","audycja","program","f",372,0.07131,"common",""
"nom","audyt","audɨt","sg","audyt","audit","m3",191,0.03662,"common",""
"gen","audytu","audɨtu","sg","audyt","audit","m3",305,0.05847,"common",""
"gen","Augusta","augusta","sg","August","August","m1",206,0.03949,"proper",""
"nom","Augustyn","augustɨn","sg","Augustyn","Augustine","m1",148,0.02837,"proper",""
"gen","aukcji","aukcji","sg","aukcja","auction","f",341,0.06537,"common",""
"loc","auli","auli","sg","aula","assembly hall","f",359,0.06882,"common",""
"nom","aura","aura","sg","aura","aura","f",148,0.02837,"common",""
"loc","Australii","australii","sg","Australia","Australia","f",448,0.08588,"proper",""
"gen","Australii","australii","sg","Australia","Australia","f",448,0.08588,"proper",""
"loc","Austrii","austrii","sg","Austria","Austria","f",473,0.09068,"proper",""
"gen","Austrii","austrii","sg","Austria","Austria","f",473,0.09068,"proper",""
"gen","aut","aut","pl","auto","car","n",614,0.11771,"common",""
"gen","auta","auta","sg","auto","car","n",1245,0.23867,"common",""
"acc","auta","auta","pl","auto","car","n",1245,0.23867,"common",""
"nom","auta","auta","pl","auto","car","n",1245,0.23867,"common",""
"inst","autem","autɛm","sg","auto","car","n",243,0.04658,"common",""
"acc","auto","autɔ","sg","auto","car","n",1408,0.26992,"common",""
"nom","auto","autɔ","sg","auto","car","n",1408,0.26992,"common",""
"acc","autobus","autɔbus","sg","autobus","bus","m3",348,0.06671,"common",""
"nom","autobus","autɔbus","sg","autobus","bus","m3",348,0.06671,"common",""
"inst","autobusem","autɔbusɛm","sg","autobus","bus","m3",214,0.04102,"common",""
"gen","autobusów","autɔbusuv","pl","autobus","bus","m3",352,0.06748,"common",""
"gen","autobusu","autɔbusu","sg","autobus","bus","m3",230,0.04409,"common",""
"nom","autobusy","autɔbusɨ","pl","autobus","bus","m3",358,0.06863,"common",""
"gen","automatyki","autɔmatɨki","sg","automatyka","automation","f",223,0.04275,"common",""
"nom","autor","autɔr","sg","autor","author","m1",5313,1.01851,"common",""
"acc","autora","autɔra","sg","autor","author","m1",1647,0.31573,"common",""
"gen","autora","autɔra","sg","autor","author","m1",1647,0.31573,"common",""
"inst","autorami","autɔrami","pl","autor","author","m1",246,0.04716,"common",""
"inst","autorem","autɔrɛm","sg","autor","author","m1",1001,0.19189,"common",""
"nom","autorka","autɔrka","sg","autorka","author","f",734,0.14071,"common",""
"inst","autorką","autɔrką","sg","autorka","author","f",225,0.04313,"common",""
"gen","autorki","autɔrki","sg","autorka","author","f",318,0.06096,"common",""
"gen","autorów","autɔruv","pl","autor","author","m1",1043,0.19995,"common",""
"acc","autorów","autɔruv","pl","autor","author","m1",1043,0.19995,"common",""
"dat","autorowi","autɔrɔvi","sg","autor","author","m1",146,0.02799,"common",""
"gen","autorstwa","autɔrstfa","sg","autorstwo","authorship","n",1023,0.19611,"common",""
"nom","autorzy","autɔʒɨ","pl","autor","author","m1",1021,0.19573,"common",""
"gen","autostrad","autɔstrat","pl","autostrada","highway","f",205,0.0393,"common",""
"gen","autostrady","autɔstradɨ","sg","autostrada","highway","f",336,0.06441,"common",""
"acc","awans","avans","sg","awans","promotion","m3",641,0.12288,"common",""
"nom","awans","avans","sg","awans","promotion","m3",641,0.12288,"common",""
"gen","awansu","avansu","sg","awans","promotion","m3",285,0.05464,"common",""
"nom","Award","avart","sg","Award","Award","m3",212,0.04064,"proper","E"
"nom","Awards","avards","sg","Awards","Awards","m3",127,0.02435,"proper","E"
"nom","awaria","avaria","sg","awaria","malfunction","f",162,0.03106,"common",""
"gen","awarii","avarii","sg","awaria","malfunction","f",555,0.10639,"common",""
"gen","Azji","azji","sg","Azja","Asia","f",586,0.11234,"proper",""
"loc","Azji","azji","sg","Azja","Asia","f",586,0.11234,"proper",""
"gen","azotu","azɔtu","sg","azot","nitrogen","m3",186,0.03566,"common",""
"gen","babci"," babci","sg","babcia","Grandma","f",371,0.07112,"common",""
"nom","babcia","babcia","sg","babcia","Grandma","f",406,0.07783,"common",""
"nom","badacze","badatʃɛ","pl","badacz","researcher","m1",314,0.06019,"common",""
"gen","badaczy","badatʃɨ","pl","badacz","researcher","m1",296,0.05674,"common",""
"gen","badań","badaɲ","pl","badanie","test","n",4397,0.84291,"common",""
"nom","badania","badania","pl","badanie","test","n",4447,0.8525,"common",""
"gen","badania","badania","sg","badanie","test","n",4447,0.8525,"common",""
"acc","badania","badania","pl","badanie","test","n",4447,0.8525,"common",""
"loc","badaniach","badaniacx","pl","badanie","test","n",564,0.10812,"common",""
"inst","badaniami","badaniami","pl","badanie","test","n",210,0.04026,"common",""
"acc","badanie","badaniɛ","sg","badanie","test","n",1031,0.19764,"common",""
"nom","badanie","badaniɛ","sg","badanie","test","n",1031,0.19764,"common",""
"loc","badaniu","badaniu","sg","badanie","test","n",377,0.07227,"common",""
"gen","badanych","badanɨcx","pl","badany","examined","m1",219,0.04198,"common",""
"gen","bajek","bajɛk","pl","bajka","story","f",246,0.04716,"common",""
"nom","bajka","bajka","sg","bajka","story","f",227,0.04352,"common",""
